frame,raw_matches,inliers,ms_per_frame,cumulative_error
1,500,275,1207.24,0.1827
2,500,292,507.24,0.5093
3,500,283,757.08,0.9643
4,500,265,619.72,1.6011
5,500,265,1305.55,2.3601
6,500,267,327.11,3.2743
7,500,270,728.53,4.3013
8,500,234,682.63,5.4905
9,500,249,716.79,6.9811
10,500,240,754.18,8.3858
11,500,285,747.39,9.5781
12,500,293,396.62,10.9003
13,500,280,369.45,12.415
14,500,274,354.5,14.0002
15,500,266,791.23,15.7378
16,500,273,515.46,17.59
17,500,277,527.81,19.5486
18,500,268,341.12,21.5818
19,500,237,700.48,23.7422
20,500,235,491.49,26.0126
21,500,245,350.64,28.3994
22,500,248,417.8,30.8743
23,500,239,767.36,33.2866
24,500,252,608.77,35.607
25,500,217,325.39,38.3989
26,500,198,356.4,41.9369
27,500,248,426.37,45.1491
28,500,225,411.98,47.8498
29,500,256,601.22,50.0956
30,500,262,353.51,51.9815
31,500,258,439.92,53.378
32,500,239,601.14,54.3308
33,500,220,788.38,54.9026
34,500,228,343.57,55.0714
35,500,238,490.72,55.6026
36,500,253,345.86,56.6319
37,500,281,353.84,58.0752
38,500,289,322.78,59.9433
39,500,303,351.12,62.3294
40,500,30,308.35,65.1455
41,500,277,448.09,68.3007
42,500,300,424.32,71.8513
43,500,292,383.3,75.9192
44,500,278,360.11,80.5248
45,500,287,337.31,85.6608
46,500,304,359.01,91.244
47,500,278,337.31,97.146
48,500,296,366.33,103.4572
49,500,300,428.39,110.4108
50,500,287,540.51,117.8725
51,500,285,475.59,125.8311
52,500,281,333.92,134.2623
53,500,283,333.88,143.2172
54,500,302,395.31,153.032
55,500,252,446.21,163.3394
56,500,266,340.06,174.019
57,500,273,413.65,185.0401
58,500,280,332.19,196.5935
59,500,295,407.27,208.6619
60,500,275,394.71,221.2896
61,500,266,388.06,233.2791
62,500,18,317.3,245.9238
63,500,267,347.16,259.0316
64,500,274,398.11,272.5104
65,500,259,656.5,286.2609
66,500,255,374.0,300.4251
67,500,267,521.41,315.1673
68,500,279,369.16,330.4653
69,500,289,899.86,346.0628
70,500,302,465.1,362.0377
71,500,88,880.8,378.2317
72,500,263,542.86,394.7725
73,500,312,646.13,411.5144
74,500,301,343.33,428.6818
75,500,334,396.08,446.1609
76,500,299,354.43,463.9045
77,500,291,496.86,482.0161
78,500,295,520.26,500.5189
79,500,315,458.5,519.3881
80,500,329,494.92,538.5954
81,500,327,340.66,558.149
82,500,346,555.52,577.9746
83,500,336,340.07,598.2053
84,500,370,370.93,618.8248
85,500,371,377.71,639.7381
86,500,363,326.78,661.0312
87,500,360,350.28,682.9115
88,500,345,394.83,704.5832
89,500,369,388.71,726.6707
90,500,343,478.78,749.1505
91,500,347,412.47,772.071
92,500,367,345.59,795.3766
93,500,352,444.35,819.3397
94,500,343,455.65,843.6329
95,500,324,428.39,868.5747
96,500,316,347.9,894.1419
97,500,309,360.12,920.237
98,500,310,387.25,946.7724
99,500,285,386.62,974.1496
